MSNA_time,BP,ECG,MSNA_v,MSNA_filt,MSNA_v_zeroed,MSNA_vjust
892.52,-7.8125e-6,-0.1919004,0.1149735,0.0017176067103263086,0.0019261277311216393,0
892.56,-1.171875e-5,-0.1961348,0.1143412,0.0014207035461639096,0.0014304519574282915,0
892.6,0,-0.1303906,0.1132967,0.0011103103666346107,6.119134761615231e-4,0
892.64,-1.953125e-5,-0.05113281,0.1127778,0.0013653741959792662,2.0544488064258134e-4,0
892.68,-1.171875e-5,0.08963672,0.1164557,0.002065959836514349,0.0030885242075980794,0
892.72,-7.8125e-6,0.2018828,0.1153482,0.002433224503082212,0.0022212222038745654,0
892.76,-1.953125e-5,0.05564258,0.1154774,0.0025294028680006944,0.002323615197167584,0
892.8,0,-0.1707148,0.117385,0.0021547905382024966,0.0038203120318117925,0
892.84,-3.90625e-6,-0.1798613,0.1131209,8.060602214563915e-4,4.801401416518163e-4,0
892.88,-7.8125e-6,-0.1447969,0.1103621,-5.737040081037569e-4,-0.0016800789573511163,0
892.92,-7.8125e-6,-0.1231211,0.1096104,-7.064559375068905e-4,-0.002267367966773234,0
892.96,0,-0.1002656,0.1124345,6.695909026986969e-4,-5.224878684427259e-5,0
893,0,-0.08379883,0.1187284,0.0020441828381556827,0.0048825439957319895,0
893.04,-7.8125e-6,-0.0786836,0.1152927,0.0016420291954761827,0.002191899835605906,0
893.08,-1.5625e-5,-0.06140234,0.1112766,3.416750280240118e-4,-9.533244916371371e-4,0
893.12,3.90625e-6,-0.05705078,0.1116037,-2.4800053419986935e-4,-6.944333540485255e-4,0
893.16,-1.5625e-5,-0.04524219,0.1123336,-2.0830801481289823e-4,-1.199311363753925e-4,0
893.2,-1.953125e-5,-0.04139258,0.1124752,-1.2348632964317527e-4,-6.566319346471431e-6,0
893.24,-1.953125e-5,-0.03329492,0.112611,-2.4411927478409438e-4,1.0225133275488674e-4,0
893.28,-1.5625e-5,0.009023438,0.1119773,-6.964282182701535e-4,-3.9206063543932893e-4,0
893.32,-3.125e-5,0.009226562,0.1102885,-0.0012758423032909316,-0.0017134378983516274,0
893.36,-2.734375e-5,-0.05989258,0.1086145,-0.0010266640796177664,-0.0030234852899173412,0
893.4,-2.34375e-5,0.03500586,0.1154365,-1.449210684782652e-4,0.0023252834657421935,0
893.44,-1.953125e-5,0.7996953,0.1128884,-3.517891754646909e-4,3.2999297697510014e-4,0
893.48,-2.34375e-5,-0.1908535,0.1104878,-0.0017606415955041309,-0.0015496326613583947,0
893.52,-1.171875e-5,-0.17865230000000001,0.107255,-0.0031240849928467953,-0.004081794002962317,0
893.56,-1.953125e-5,-0.1138008,0.1060782,-0.003300715574877622,-0.005003075982089144,0
893.6,-1.171875e-5,-0.02066797,0.1105983,-0.002222693252773106,-0.001459831462883893,0
893.64,-1.953125e-5,0.1420117,0.1128926,-0.0015364149881350135,3.385667230975684e-4,0
893.68,-2.734375e-5,0.2379688,0.1099842,-0.0022008722740485803,-0.0019409367737441032,0
893.72,-2.734375e-5,0.04845117,0.1068062,-0.0030551701194672038,-0.004432063359258381,0
893.76,-2.34375e-5,-0.1754082,0.1081992,-0.0028544866517508324,-0.003341070762287481,0
893.8,-1.5625e-5,-0.1699648,0.1108981,-0.002042729833504799,-0.0012270215788881714,0
893.84,-1.171875e-5,-0.1388496,0.1118849,-0.0018997540969709396,-4.5513611298830846e-4,0
893.88,-1.953125e-5,-0.1167539,0.1078671,-0.0024097988381867027,-0.0036060038908161756,0
893.92,-2.34375e-5,-0.09154688,0.1099749,-0.0027461375278074107,-0.001956102978460862,0
893.96,-3.90625e-5,-0.08430664,0.1086223,-0.0030645410703867325,-0.0030188249732843305,0
894,-2.734375e-5,-0.07623437,0.1076775,-0.0033615518174367454,-0.0037623838895710217,0
894.04,-2.734375e-5,-0.07118945,0.1082374,-0.00321735069748475,-0.0033271303004242673,0
894.08,-3.125e-5,-0.05964258,0.1095505,-0.0028889724186268347,-0.0023020325641295233,0
894.12,-3.515625e-5,-0.04885938,0.1093025,-0.002818341478041317,-0.002500912225760673,0
894.16,-2.734375e-5,-0.04112891,0.1081028,-0.0027552283789568986,-0.003446143732621672,0
894.2,-3.125e-5,-0.03474023,0.108172,-0.0017273913572083287,-0.00339733640765052,0
894.24,-2.734375e-5,-0.01800586,0.1147419,1.0092922651045958e-4,0.0017462816289139798,0
894.28,-3.125e-5,0.04458984,0.1153312,0.0010946582195900934,0.0022024904790966253,0
894.32,-3.125e-5,-0.05448828,0.1139588,7.448987614615328e-4,0.0011214369494663406,0
894.36,-3.125e-5,-0.08085156,0.1117473,-4.70999403537784e-5,-6.17138781900726e-4,0
894.4,-4.296875e-5,0.8886406,0.1109839,-3.6515472500931915e-4,-0.0012207692362016748,0
894.44,-3.515625e-5,-0.1087637,0.1133433,-2.5497996081680596e-4,6.231055129474577e-4,0
894.48,-4.6875e-5,-0.2072793,0.1130206,-7.420020081023882e-4,3.648080156772445e-4,0
894.52,-4.296875e-5,-0.1520039,0.1088872,-0.0017981491432072976,-0.0028803163128227347,0
894.56,-4.296875e-5,-0.06794922,0.1092783,-0.0023874353934835563,-0.0025795238057401307,0
894.6,-3.125e-5,0.07171094,0.1092262,-0.0023182435032298174,-0.002626525547955131,0
894.64,-5.46875e-5,0.2152813,0.1111665,-0.002211547920863452,-0.0011122687501808521,0
894.68,-3.90625e-5,0.1504414,0.1099978,-0.002771404076413508,-0.0020350689494358317,0
894.72,-3.515625e-5,-0.1354199,0.1070587,-0.003779036091424673,-0.004345856900339411,0
894.76,-3.125e-5,-0.1895508,0.106487,-0.004310397768137068,-0.004801727148766318,0
894.8,-5.46875e-5,-0.1601836,0.1066698,-0.003910516564197694,-0.004666967164656007,0
894.84,-5.46875e-5,-0.1261152,0.1103883,-0.0030893854785290797,-0.0017616089336982658,0
894.88,-4.296875e-5,-0.1017871,0.1099785,-0.0029081301874262127,-0.0020923530422690393,0
894.92,-4.296875e-5,-0.09111719,0.1086345,-0.0035754358958660407,-0.003155667709384501,0
894.96,-6.640625e-5,-0.08494141,0.1067626,-0.0044954974903470765,-0.004633256757123292,0
895,-6.640625e-5,-0.07226172,0.1055438,-0.005034771760114547,-0.005599667824365841,0
895.04,-5.46875e-5,-0.06294726,0.1068614,-0.005048388138433356,-0.004578894433429335,0
895.08,-3.90625e-5,-0.04819336,0.1068601,-0.005009997781857577,-0.004592617979115279,0
895.12,-5.46875e-5,-0.03906641,0.1052523,-0.004737046071799444,-0.0058662658696974615,0
895.16,-5.078125e-5,-0.03484766,0.1079647,-0.0035945999050286796,-0.00375460191586212,0
895.2,-4.6875e-5,-0.03152148,0.1100895,-0.001690067709123665,-0.0021041006940278966,0
895.24,-5.46875e-5,0.04758985,0.1152401,4.4374536351036676e-5,0.0019177361611146017,0
895.28,-5.078125e-5,-0.0269375,0.1149615,3.895971375652698e-4,0.001684386587773652,0
895.32,-7.8125e-5,-0.05331836,0.1109014,-2.4629019173444324e-4,-0.001512694020818153,0
895.36,-5.078125e-5,0.379168,0.1132118,-8.340492070648468e-4,2.8328097828786544e-4,0
895.4,-5.859375e-5,0.4119121,0.1096923,-0.0013117912325361703,-0.002490263306867177,0
895.44,-5.859375e-5,-0.2022324,0.1104963,-0.0011163955646331832,-0.0018753760055294742,0.0024803794126150294
895.48,-4.296875e-5,-0.1612852,0.1127922,-3.240269086585896e-5,-9.141102890102043e-5,0.004264344389243484
895.52,-4.6875e-5,-0.09046484,0.1152295,0.0011084528289804075,0.0018033709758321914,0.006159126393976695
895.56,-5.078125e-5,0.02980078,0.1143933,0.0020673193973180406,0.0011326188388228403,0.005488374256967344
895.6,-4.6875e-5,0.1888535,0.1171517,0.003248994282003566,0.003279547555961598,0.007635302974106101
895.64,-6.640625e-5,0.218959,0.116476,0.00525809961406612,0.00273529453991558,0.007091049958060083
895.68,-6.25e-5,-0.04494727,0.1240351,0.008382672420663727,0.008646034600312408,0.013001790018456912
895.72,-6.25e-5,-0.1868184,0.1289126,0.011259201508187365,0.012456261335417301,0.016812016753561806
895.76,-5.078125e-5,-0.1564785,0.1306613,0.01220566931721916,0.01381605433063566,0.018171809748780163
895.8,-5.859375e-5,-0.1238926,0.1279183,0.010894280010066055,0.011657366643793207,0.01601312206193771
895.84,-5.859375e-5,-0.1030195,0.123185,0.008044070261069874,0.007940492615908226,0.012296248034052729
895.88,-5.859375e-5,-0.09760742,0.1183547,0.004738721147213987,0.004148842512016137,0.00850459793016064
895.92,-5.46875e-5,-0.08126758,0.1128312,0.0022830329522812933,-1.854930610897838e-4,0.00417026235705472
